title;price;old_price;link;img
Men's Flash Challenger™ Windbreaker Jacket;$44.99;$65.00;https://www.columbia.com/p/mens-flash-challenger-windbreaker-jacket-1988731.html?dwvar_1988731_color=191;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1988731_191_f?$x1_grid$&v=1642418206
Women's Columbia Hike™ Short Sleeve Crew Shirt;$19.99;$36.00;https://www.columbia.com/p/womens-columbia-hike-short-sleeve-crew-shirt-1991551.html?dwvar_1991551_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1991551_010_f?$x1_grid$&v=1642418206
Men's Hatana™ Max OutDry™ Shoe;$90.00;$120.00;https://www.columbia.com/p/mens-hatana-max-outdry-shoe-1982281.html?dwvar_1982281_color=010;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1982281_010_f?$x1_grid$&v=1642418206
Boys' PFG Terminal Tackle™ Fish Flag T-Shirt;$14.99;$22.00;https://www.columbia.com/p/boys-pfg-terminal-tackle-fish-flag-t-shirt-1987971.html?dwvar_1987971_color=100;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1987971_100_f?$x1_grid$&v=1642418206
Men's Utilizer™ Printed Woven Short Sleeve Shirt;$39.99;$65.00;https://www.columbia.com/p/mens-utilizer-printed-woven-short-sleeve-shirt-1990821.html?dwvar_1990821_color=329;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990821_329_f?$x1_grid$&v=1642418206
Women's Bogata Bay™ Stretch Shorts;$34.99;$60.00;https://www.columbia.com/p/womens-bogata-bay-stretch-shorts-1961031.html?dwvar_1961031_color=567;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1961031_567_f?$x1_grid$&v=1642418206
Women's Capsule Hatana™ Max OutDry™ Shoe;$97.50;$130.00;https://www.columbia.com/p/womens-capsule-hatana-max-outdry-shoe-1987461.html?dwvar_1987461_color=043;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1987461_043_f?$x1_grid$&v=1642418206
Boys' Washed Out™ Shorts;$19.99;$30.00;https://www.columbia.com/p/boys-washed-out-shorts-1990261.html?dwvar_1990261_color=271;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1990261_271_f?$x1_grid$&v=1642418206
Men's Hikebound™ Rain Jacket;$60.00;$80.00;https://www.columbia.com/p/mens-hikebound-rain-jacket-1988621.html?dwvar_1988621_color=327;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1988621_327_f?$x1_grid$&v=1642418206
Women's On The Go™ Long Shorts;$44.99;$65.00;https://www.columbia.com/p/womens-on-the-go-long-shorts-1991861.html?dwvar_1991861_color=348;https://columbia.scene7.com/is/image/ColumbiaSportswear2/1991861_348_f?$x1_grid$&v=1642418206
